0.0,1,0,4
0.1,4,2,2
0.2,3,-1,2
0.3,2,1,2
0.4,2,2,3
0.5,6,-2,3
0.6,5,3,2
0.7,2,1,2
0.8,4,2,3
0.9,4,-5,3
1.0,2,3,4
1.1,10,1,1
1.2,8,0,0
1.3,5,3,1
1.4,5,-3,2
1.5,13,4,3
1.6,3,3,3
1.7,4,5,0
1.8,7,0,4
1.9,2,1,2
2.0,9,1,2
2.1,3,1,3
2.2,3,1,3
2.3,7,0,2
2.4,2,0,3
2.5,5,0,1
2.6,5,4,2
2.7,3,2,2
2.8,2,1,4
2.9,5,7,5
3.0,2,1,3
3.1,1,-1,4
3.2,3,5,2
3.3,0,0,3
3.4,2,1,4
3.5,2,3,3
3.6,1,4,3
3.7,7,1,-7
3.8,3,1,1
3.9,3,2,3
4.0,-8,0,4
4.1,2,9,3
4.2,6,4,1
4.3,2,1,2
4.4,4,8,3
4.5,4,3,2
4.6,3,-6,2
4.7,6,3,-1
4.8,6,1,12
4.9,-9,0,0
5.0,3,0,4
5.1,2,2,2
5.2,5,1,2
5.3,3,2,2
5.4,3,3,2
5.5,3,1,-6
5.6,6,2,2
5.7,-5,1,2
5.8,2,0,1
5.9,2,0,2
6.0,13,2,0
6.1,2,10,2
6.2,2,-6,2
6.3,-2,4,5
6.4,8,3,4
6.5,13,3,1
6.6,13,6,3
6.7,2,7,2
6.8,5,14,0
6.9,8,44,-8
7.0,18,87,5
7.1,35,53,1
7.2,59,40,5
7.3,119,23,10
7.4,140,12,21
7.5,75,4,48
7.6,41,3,77
7.7,23,1,109
7.8,10,-6,194
7.9,5,3,101
8.0,5,0,37
8.1,4,1,17
8.2,4,0,8
8.3,4,1,1
8.4,1,-6,2
8.5,3,2,3
8.6,1,0,0
8.7,5,1,1
8.8,5,1,1
8.9,0,2,5
9.0,3,1,0
9.1,-2,2,2
9.2,2,1,1
9.3,-2,-5,1
9.4,-27,0,1
9.5,-1,13,5
9.6,5,-3,1
9.7,1,4,1
9.8,-9,4,9
9.9,3,3,-1
10.0,-2,-1,4
10.1,0,0,3
10.2,5,0,3
10.3,-11,0,4
10.4,5,2,1
10.5,5,-5,2
10.6,6,4,1
10.7,7,3,2
10.8,0,1,4
10.9,2,0,1
11.0,1,2,2
11.1,1,2,1
11.2,2,2,3
11.3,-1,2,-1
11.4,-2,0,4
11.5,1,3,3
11.6,-2,2,2
11.7,-1,0,3
11.8,8,0,5
11.9,1,1,6
12.0,1,1,3
12.1,0,8,6
12.2,4,2,11
12.3,4,9,4
12.4,12,1,3
12.5,4,1,19
12.6,4,2,6
12.7,1,-4,4
12.8,-2,1,6
12.9,5,3,6
13.0,-4,4,6
13.1,2,2,8
13.2,1,0,4
13.3,-4,-1,5
13.4,3,-1,3
13.5,0,2,6
13.6,-11,3,3
13.7,7,5,1
13.8,2,-1,0
13.9,2,0,1
14.0,7,0,2
14.1,6,-5,1
14.2,-7,2,2
14.3,15,2,3
14.4,2,0,0
14.5,18,2,-1
14.6,4,2,1
14.7,10,0,-3
14.8,1,2,-1
14.9,0,2,-2
15.0,3,0,20
15.1,6,3,3
15.2,4,2,3
15.3,-4,0,4
15.4,1,3,12
15.5,-7,4,2
15.6,1,3,2
15.7,4,5,3
15.8,9,0,3
15.9,21,-1,3
16.0,4,-4,3
16.1,5,2,2
16.2,4,3,1
16.3,-2,2,1
16.4,3,2,1
16.5,2,3,0
16.6,4,18,0
16.7,-4,1,1
16.8,1,1,-4
16.9,3,0,0
17.0,6,-6,-10
17.1,9,-4,-1
17.2,1,7,1
17.3,2,3,-4
17.4,9,3,0
17.5,4,2,-4
17.6,4,-9,0
17.7,4,-6,0
17.8,0,2,0
17.9,0,0,3
18.0,2,1,6
18.1,3,1,3
18.2,2,2,5
